rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,csv_t30_change,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,error
191,LRCX,2022,3,2022-10-19,GAINER,AMC,DOWN,0.3,28.6,MISS,success,74.9,2022-10-20,2022-12-02,35.59,45.77,
192,HAL,2021,4,2022-01-24,GAINER,BMO,UP,0.8,28.58,HIT,success,81.2,2022-01-24,2022-03-08,28.59,36.76,
193,DDOG,2020,1,2020-05-11,GAINER,AMC,UP,0.8,28.52,HIT,success,65.7,2020-05-12,2020-06-24,68.86,88.5,
194,KEY,2020,3,2020-10-21,GAINER,BMO,UP,0.7,28.5,HIT,success,79.8,2020-10-21,2020-12-03,12.42,15.96,
195,TSCO,2020,1,2020-04-23,GAINER,BMO,UP,0.8,28.44,HIT,success,89.8,2020-04-23,2020-06-05,19.02,24.43,
196,HON,2020,3,2020-10-30,GAINER,BMO,UP,0.7,28.43,HIT,success,71.3,2020-10-30,2020-12-14,164.95,211.85,
197,NEM,2023,4,2024-02-22,GAINER,BMO,DOWN,0.3,28.36,MISS,success,71.1,2024-02-22,2024-04-05,30.89,39.65,
198,LDOS,2021,4,2022-02-15,GAINER,BMO,DOWN,0.3,28.31,MISS,success,75.9,2022-02-15,2022-03-30,84.5,108.42,
199,AXON,2020,1,2020-05-07,GAINER,BMO,UP,0.7,28.23,HIT,success,76.5,2020-05-07,2020-06-19,70.28,90.12,
200,HOOD,2024,2,2024-08-07,GAINER,AMC,UP,0.8,28.2,HIT,success,76.7,2024-08-08,2024-09-20,17.73,22.73,
201,DIS,2020,3,2020-11-12,GAINER,AMC,UP,0.7,28.14,HIT,success,71.9,2020-11-13,2020-12-29,138.36,177.3,
202,IQV,2023,3,2023-11-01,GAINER,BMO,DOWN,0.3,28.08,MISS,success,99.8,2023-11-01,2023-12-14,180.01,230.55,
203,PNC,2020,3,2020-10-14,GAINER,BMO,UP,0.7,28.06,HIT,success,70.2,2020-10-14,2020-11-25,109.83,140.65,
204,PYPL,2020,3,2020-11-02,GAINER,AMC,UP,0.8,28.02,HIT,success,74.4,2020-11-03,2020-12-16,179.81,230.2,
205,PWR,2021,2,2021-08-05,GAINER,BMO,UP,0.8,27.98,HIT,success,76.3,2021-08-05,2021-09-17,92.53,118.42,
206,STLD,2021,4,2022-01-24,GAINER,BMO,UP,0.7,27.92,HIT,success,73.0,2022-01-24,2022-03-08,54.7,69.97,
207,STLD,2022,3,2022-10-19,GAINER,AMC,UP,0.7,27.9,HIT,success,73.8,2022-10-20,2022-12-02,85.65,109.55,
208,BXP,2023,3,2023-11-01,GAINER,AMC,NEUTRAL,0.6,27.9,SKIP,success,81.1,2023-11-02,2023-12-15,55.84,71.42,
209,PSKY,2021,4,2022-02-15,GAINER,AMC,DOWN,0.3,27.82,MISS,success,86.0,2022-02-16,2022-03-31,29.58,37.81,
210,PANW,2020,3,2020-11-16,GAINER,BMO,UP,0.7,27.75,HIT,success,68.5,2020-11-16,2020-12-30,46.42,59.3,
211,AMD,2023,3,2023-10-31,GAINER,AMC,UP,0.8,27.73,HIT,success,69.3,2023-11-01,2023-12-14,108.04,138.0,
212,CVX,2021,4,2022-01-28,GAINER,BMO,UP,0.7,27.65,HIT,success,75.7,2022-01-28,2022-03-14,130.61,166.72,
213,MRNA,2021,1,2021-05-06,GAINER,AMC,UP,0.8,27.64,HIT,success,77.6,2021-05-07,2021-06-21,163.15,208.24,
214,NKE,2022,2,2022-09-29,GAINER,AMC,UP,0.8,27.63,HIT,success,67.0,2022-09-30,2022-11-11,83.12,106.09,
215,AFL,2020,3,2020-10-27,GAINER,BMO,UP,0.7,27.6,HIT,success,80.5,2020-10-27,2020-12-09,35.36,45.12,
216,LVS,2022,3,2022-10-19,GAINER,AMC,UP,0.7,27.59,HIT,success,70.3,2022-10-20,2022-12-02,37.59,47.96,
217,FCX,2020,4,2021-01-26,GAINER,BMO,UP,0.9,27.58,HIT,success,68.8,2021-01-26,2021-03-10,27.01,34.46,
218,KLAC,2020,3,2020-10-28,GAINER,AMC,UP,0.7,27.57,HIT,success,675.2,2020-10-29,2020-12-11,201.95,257.63,
219,SNA,2020,1,2020-04-21,GAINER,BMO,DOWN,0.3,27.54,MISS,success,84.6,2020-04-21,2020-06-03,110.54,140.98,
220,MTCH,2023,1,2023-05-02,GAINER,BMO,DOWN,0.3,27.52,MISS,success,70.8,2023-05-02,2023-06-14,34.59,44.11,
221,STZ,2020,1,2020-04-03,GAINER,BMO,UP,0.8,27.49,HIT,success,77.7,2020-04-03,2020-05-18,132.17,168.51,
222,ARE,2023,3,2023-10-23,GAINER,AMC,UP,0.7,27.48,HIT,success,87.2,2023-10-24,2023-12-06,95.57,121.83,
223,MHK,2020,3,2020-10-29,GAINER,AMC,UP,0.8,27.46,HIT,success,83.2,2020-10-30,2020-12-14,103.19,131.53,
224,TKO,2022,3,2022-12-30,GAINER,AMC,,,27.46,,error,5.931040048599243,2023-01-03,2023-02-15,68.58,87.41,No transcript found for TKO FY2022 Q3
225,WAB,2020,3,2020-10-29,GAINER,BMO,UP,0.7,27.4,HIT,success,70.6,2020-10-29,2020-12-11,58.75,74.85,
226,SBUX,2024,2,2024-07-30,GAINER,AMC,DOWN,0.1,27.36,MISS,success,70.8,2024-07-31,2024-09-12,77.95,99.28,
227,KLAC,2022,3,2022-10-26,GAINER,AMC,UP,0.8,27.35,HIT,success,75.2,2022-10-27,2022-12-09,308.91,393.41,
228,SCHW,2020,3,2020-10-15,GAINER,BMO,UP,0.7,27.34,HIT,success,77.3,2020-10-15,2020-11-27,39.03,49.7,
229,SPG,2020,1,2020-05-11,GAINER,BMO,NEUTRAL,0.6,27.32,SKIP,success,66.0,2020-05-11,2020-06-23,55.08,70.13,
230,SYF,2020,4,2021-01-29,GAINER,BMO,UP,0.7,27.25,HIT,success,69.6,2021-01-29,2021-03-15,33.65,42.82,
231,LYB,2020,3,2020-10-30,GAINER,BMO,UP,0.7,27.25,HIT,success,93.4,2020-10-30,2020-12-14,68.45,87.1,
232,F,2021,3,2021-10-27,GAINER,AMC,UP,0.8,27.22,HIT,success,87.8,2021-10-28,2021-12-10,16.86,21.45,
233,TER,2021,3,2021-10-26,GAINER,AMC,UP,0.7,27.22,HIT,success,91.5,2021-10-27,2021-12-09,123.07,156.57,
234,STLD,2021,1,2021-04-19,GAINER,AMC,UP,0.9,27.19,HIT,success,79.9,2021-04-20,2021-06-02,50.12,63.75,
235,PFG,2020,3,2020-10-26,GAINER,AMC,UP,0.7,27.19,HIT,success,70.0,2020-10-27,2020-12-09,39.35,50.05,
236,FDX,2019,4,2020-03-17,GAINER,AMC,DOWN,0.2,27.18,MISS,success,78.9,2020-03-18,2020-04-30,99.68,126.77,
237,PANW,2021,4,2022-02-22,GAINER,AMC,UP,0.9,27.05,HIT,success,70.3,2022-02-23,2022-04-06,79.6,101.13,
238,RL,2023,3,2023-11-08,GAINER,BMO,UP,0.7,27.0,HIT,success,79.9,2023-11-08,2023-12-21,116.47,147.92,
239,DDOG,2023,1,2023-05-04,GAINER,BMO,DOWN,0.3,26.99,MISS,success,75.6,2023-05-04,2023-06-16,75.4,95.75,
240,ABNB,2023,3,2023-11-01,GAINER,AMC,DOWN,0.3,26.93,MISS,success,76.7,2023-11-02,2023-12-15,115.5,146.6,
241,JCI,2020,1,2020-05-01,GAINER,BMO,UP,0.7,26.88,HIT,success,77.5,2020-05-01,2020-06-15,27.86,35.35,
242,CEG,2022,2,2022-08-04,GAINER,BMO,UP,0.7,26.85,HIT,success,75.4,2022-08-04,2022-09-16,67.46,85.57,
243,SPG,2023,3,2023-10-30,GAINER,AMC,UP,0.8,26.73,HIT,success,67.3,2023-10-31,2023-12-13,109.89,139.26,
244,IVZ,2020,3,2020-10-27,GAINER,BMO,UP,0.8,26.7,HIT,success,693.8,2020-10-27,2020-12-09,13.97,17.7,
245,IPG,2020,3,2020-10-21,GAINER,BMO,UP,0.7,26.68,HIT,success,71.2,2020-10-21,2020-12-03,18.7,23.69,
246,EL,2022,3,2022-11-02,GAINER,BMO,DOWN,0.3,26.66,MISS,success,70.7,2022-11-02,2022-12-15,189.96,240.6,
247,CB,2020,1,2020-04-21,GAINER,AMC,DOWN,0.3,26.65,MISS,success,77.3,2020-04-22,2020-06-04,106.22,134.53,
248,PPG,2022,3,2022-10-19,GAINER,AMC,NEUTRAL,0.4,26.65,SKIP,success,84.2,2022-10-20,2022-12-02,108.41,137.3,
249,POOL,2020,1,2020-04-23,GAINER,BMO,UP,0.7,26.63,HIT,success,76.6,2020-04-23,2020-06-05,204.4,258.84,
250,DVA,2020,3,2020-10-29,GAINER,AMC,UP,0.8,26.6,HIT,success,84.0,2020-10-30,2020-12-14,86.25,109.19,
251,F,2020,1,2020-04-28,GAINER,BMO,DOWN,0.2,26.58,MISS,success,73.3,2020-04-28,2020-06-10,5.38,6.81,
252,NVDA,2024,1,2024-05-22,GAINER,AMC,UP,1.0,26.57,HIT,success,75.3,2024-05-23,2024-07-09,103.8,131.38,
253,APO,2020,3,2020-10-29,GAINER,BMO,DOWN,0.3,26.52,MISS,success,75.9,2020-10-29,2020-12-11,37.86,47.9,
254,TRMB,2023,3,2023-11-01,GAINER,BMO,DOWN,0.3,26.42,MISS,success,80.4,2023-11-01,2023-12-14,40.96,51.78,
255,AXP,2020,4,2021-01-26,GAINER,BMO,UP,0.7,26.35,HIT,success,82.1,2021-01-26,2021-03-10,116.15,146.75,
256,HBAN,2020,3,2020-10-22,GAINER,BMO,UP,0.7,26.3,HIT,success,74.9,2020-10-22,2020-12-04,10.38,13.11,
257,OXY,2021,1,2021-05-10,GAINER,AMC,UP,0.7,26.21,HIT,success,89.4,2021-05-11,2021-06-23,24.53,30.96,
258,CAT,2020,4,2021-01-29,GAINER,BMO,UP,0.7,26.2,HIT,success,86.1,2021-01-29,2021-03-15,182.84,230.74,
259,EPAM,2023,3,2023-11-02,GAINER,BMO,DOWN,0.2,26.15,MISS,success,95.2,2023-11-02,2023-12-15,232.31,293.07,
260,DAL,2024,3,2024-10-10,GAINER,BMO,UP,0.7,25.95,HIT,success,86.2,2024-10-10,2024-11-21,50.29,63.34,
261,NWSA,2020,4,2021-02-04,GAINER,AMC,UP,0.7,25.87,HIT,success,85.1,2021-02-05,2021-03-22,21.22,26.71,
262,COP,2022,2,2022-08-04,GAINER,BMO,UP,0.8,25.87,HIT,success,78.1,2022-08-04,2022-09-16,89.88,113.13,
263,SWKS,2023,3,2023-11-02,GAINER,BMO,UP,0.7,25.8,HIT,success,74.9,2023-11-02,2023-12-15,89.5,112.59,
264,GLW,2020,1,2020-04-28,GAINER,BMO,DOWN,0.3,25.79,MISS,success,71.5,2020-04-28,2020-06-10,22.14,27.85,
265,LEN,2022,1,2022-06-21,GAINER,BMO,UP,0.8,25.76,HIT,success,74.5,2022-06-21,2022-08-03,65.65,82.56,
266,MU,2022,3,2022-12-21,GAINER,AMC,DOWN,0.2,25.69,MISS,success,665.7,2022-12-22,2023-02-07,49.43,62.13,
267,URI,2020,4,2021-01-27,GAINER,AMC,UP,0.8,25.36,HIT,success,78.0,2021-01-28,2021-03-12,253.56,317.86,
268,INTC,2023,3,2023-10-26,GAINER,AMC,UP,0.8,25.32,HIT,success,78.0,2023-10-27,2023-12-11,35.54,44.54,
269,SYF,2023,3,2023-10-24,GAINER,BMO,NEUTRAL,0.6,25.32,SKIP,success,74.8,2023-10-24,2023-12-06,27.37,34.3,
270,PNC,2020,1,2020-04-15,GAINER,BMO,NEUTRAL,0.6,25.28,SKIP,success,98.2,2020-04-15,2020-05-28,92.43,115.8,
271,ANET,2023,1,2023-05-01,GAINER,AMC,UP,0.8,25.28,HIT,success,75.4,2023-05-02,2023-06-14,33.74,42.27,
272,KEY,2023,3,2023-10-19,GAINER,BMO,NEUTRAL,0.6,25.19,SKIP,success,85.3,2023-10-19,2023-12-01,10.56,13.22,
273,FFIV,2020,3,2020-10-26,GAINER,AMC,UP,0.7,25.19,HIT,success,73.6,2020-10-27,2020-12-09,136.26,170.58,
274,LUV,2020,1,2020-04-28,GAINER,BMO,DOWN,0.2,25.09,MISS,success,70.3,2020-04-28,2020-06-10,29.69,37.14,
275,JCI,2020,4,2021-01-29,GAINER,BMO,UP,0.7,25.03,HIT,success,74.9,2021-01-29,2021-03-15,49.82,62.29,
276,BX,2020,3,2020-10-28,GAINER,BMO,UP,0.7,24.98,HIT,success,72.9,2020-10-28,2020-12-10,50.29,62.85,
277,RF,2020,3,2020-10-20,GAINER,BMO,UP,0.7,24.96,HIT,success,68.3,2020-10-20,2020-12-02,12.94,16.17,
278,GWW,2020,1,2020-04-23,GAINER,BMO,NEUTRAL,0.6,24.92,SKIP,success,110.2,2020-04-23,2020-06-05,258.43,322.83,
279,BLDR,2024,2,2024-08-06,GAINER,BMO,DOWN,0.3,24.91,MISS,success,78.1,2024-08-06,2024-09-18,155.73,194.52,
280,SWKS,2020,1,2020-05-04,GAINER,AMC,UP,0.7,24.86,HIT,success,76.8,2020-05-05,2020-06-17,104.71,130.74,
281,MU,2022,2,2022-09-29,GAINER,AMC,UP,0.8,24.79,HIT,success,116.3,2022-09-30,2022-11-11,50.1,62.52,
282,RCL,2022,2,2022-07-28,GAINER,BMO,UP,0.8,24.78,HIT,success,65.5,2022-07-28,2022-09-09,37.86,47.24,
283,NFLX,2023,1,2023-04-18,GAINER,AMC,UP,0.7,24.76,HIT,success,82.3,2023-04-19,2023-06-01,32.31,40.31,
284,MRNA,2020,1,2020-05-07,GAINER,BMO,UP,0.9,24.74,HIT,success,77.5,2020-05-07,2020-06-19,53.19,66.35,
285,CDNS,2020,1,2020-04-20,GAINER,AMC,UP,0.8,24.63,HIT,success,75.6,2020-04-21,2020-06-03,74.59,92.96,
286,FRT,2020,3,2020-11-05,GAINER,AMC,UP,0.7,24.6,HIT,success,86.8,2020-11-06,2020-12-21,68.93,85.89,
287,STX,2020,3,2020-10-22,GAINER,AMC,UP,0.8,24.6,HIT,success,70.9,2020-10-23,2020-12-07,50.74,63.22,
288,GDDY,2023,3,2023-11-02,GAINER,AMC,UP,0.8,24.59,HIT,success,67.4,2023-11-03,2023-12-18,85.56,106.6,
289,WFC,2024,3,2024-10-11,GAINER,BMO,UP,0.7,24.55,HIT,success,65.8,2024-10-11,2024-11-22,60.99,75.96,
290,MPC,2020,4,2021-02-02,GAINER,BMO,UP,0.7,24.5,HIT,success,94.8,2021-02-02,2021-03-17,45.15,56.21,
291,DASH,2021,1,2021-05-13,GAINER,AMC,UP,0.8,24.48,HIT,success,64.1,2021-05-14,2021-06-28,141.07,175.6,
292,CFG,2020,1,2020-04-17,GAINER,BMO,DOWN,0.3,24.46,MISS,success,72.8,2020-04-17,2020-06-01,19.87,24.73,
293,TPR,2024,3,2024-11-07,GAINER,BMO,UP,0.7,24.44,HIT,success,86.3,2024-11-07,2024-12-20,51.55,64.15,
294,LUV,2020,2,2020-07-23,GAINER,AMC,DOWN,0.3,24.42,MISS,success,69.9,2020-07-24,2020-09-04,31.66,39.39,
295,GEV,2024,3,2024-10-23,GAINER,BMO,UP,0.8,24.39,HIT,success,83.4,2024-10-23,2024-12-05,279.88,348.13,
296,PFG,2020,4,2021-01-28,GAINER,AMC,UP,0.7,24.36,HIT,success,80.6,2021-01-29,2021-03-15,49.27,61.27,
297,APH,2020,1,2020-04-22,GAINER,BMO,NEUTRAL,0.4,24.34,SKIP,success,82.8,2020-04-22,2020-06-04,20.42,25.39,
298,CBRE,2023,3,2023-10-27,GAINER,BMO,DOWN,0.2,24.34,MISS,success,82.0,2023-10-27,2023-12-11,66.15,82.25,
299,APTV,2020,3,2020-10-29,GAINER,BMO,UP,0.8,24.33,HIT,success,72.4,2020-10-29,2020-12-11,98.32,122.24,
300,BKR,2021,4,2022-01-20,GAINER,BMO,UP,0.8,24.33,HIT,success,76.4,2022-01-20,2022-03-04,26.72,33.22,
301,EFX,2023,3,2023-10-18,GAINER,BMO,DOWN,0.3,24.29,MISS,success,83.2,2023-10-18,2023-11-30,175.16,217.71,
302,LUV,2023,3,2023-10-26,GAINER,BMO,DOWN,0.2,24.28,MISS,success,81.4,2023-10-26,2023-12-08,23.39,29.07,
303,STX,2020,4,2021-01-21,GAINER,AMC,NEUTRAL,0.4,24.27,SKIP,success,78.1,2021-01-22,2021-03-08,60.0,74.56,
304,MAS,2023,3,2023-10-26,GAINER,BMO,UP,0.7,24.2,HIT,success,77.8,2023-10-26,2023-12-08,51.53,64.0,
305,ANET,2024,1,2024-05-06,GAINER,AMC,UP,0.8,24.16,HIT,success,71.4,2024-05-07,2024-06-20,68.5,85.05,
306,FCX,2021,4,2022-01-26,GAINER,BMO,UP,0.8,24.15,HIT,success,69.9,2022-01-26,2022-03-10,38.43,47.71,
307,MPWR,2023,1,2023-05-04,GAINER,AMC,DOWN,0.3,24.06,MISS,success,79.2,2023-05-05,2023-06-20,411.27,510.23,
308,LLY,2021,1,2021-04-27,GAINER,BMO,UP,0.7,24.03,HIT,success,80.5,2021-04-27,2021-06-09,182.21,226.0,
309,PODD,2024,1,2024-05-09,GAINER,AMC,UP,0.8,24.02,HIT,success,97.0,2024-05-10,2024-06-25,165.9,205.75,
310,WAT,2023,3,2023-11-07,GAINER,BMO,DOWN,0.3,24.01,MISS,success,75.9,2023-11-07,2023-12-20,260.67,323.25,
311,VRSK,2021,4,2022-02-22,GAINER,AMC,UP,0.7,24.0,HIT,success,72.1,2022-02-23,2022-04-06,177.62,220.25,
312,GDDY,2024,3,2024-10-30,GAINER,AMC,UP,0.8,23.97,HIT,success,75.9,2024-10-31,2024-12-13,166.8,206.78,
313,DG,2019,4,2020-03-12,GAINER,BMO,UP,0.8,23.96,HIT,success,79.7,2020-03-12,2020-04-24,141.97,175.98,
314,PCG,2020,3,2020-10-29,GAINER,AMC,NEUTRAL,0.6,23.95,SKIP,success,103.7,2020-10-30,2020-12-14,9.56,11.85,
315,FDX,2022,3,2022-12-20,GAINER,AMC,NEUTRAL,0.6,23.88,SKIP,success,78.5,2022-12-21,2023-02-06,169.99,210.59,
316,CARR,2020,1,2020-05-08,GAINER,BMO,UP,0.7,23.86,HIT,success,80.9,2020-05-08,2020-06-22,18.36,22.74,
317,NVR,2020,1,2020-04-23,GAINER,AMC,,,23.79,,error,6.361371994018555,2020-04-24,2020-06-08,2847.37,3524.75,No transcript found for NVR FY2020 Q1
318,GM,2020,1,2020-05-06,GAINER,BMO,UP,0.7,23.76,HIT,success,74.3,2020-05-06,2020-06-18,21.89,27.09,
319,STT,2022,3,2022-10-18,GAINER,BMO,UP,0.7,23.67,HIT,success,89.9,2022-10-18,2022-11-30,64.42,79.67,
320,FSLR,2023,4,2024-02-27,GAINER,AMC,UP,0.8,23.58,HIT,success,83.2,2024-02-28,2024-04-11,149.25,184.44,
321,TER,2020,3,2020-10-20,GAINER,AMC,UP,0.8,23.54,HIT,success,81.9,2020-10-21,2020-12-03,92.07,113.74,
322,HOOD,2024,1,2024-05-08,GAINER,AMC,UP,0.8,23.53,HIT,success,70.0,2024-05-09,2024-06-24,17.3,21.37,
323,DVA,2023,3,2023-11-07,GAINER,AMC,UP,0.8,23.52,HIT,success,77.1,2023-11-08,2023-12-21,84.81,104.76,
324,TPR,2020,4,2021-02-04,GAINER,BMO,UP,0.7,23.52,HIT,success,115.5,2021-02-04,2021-03-19,36.18,44.69,
325,DASH,2021,4,2022-02-16,GAINER,BMO,UP,0.7,23.5,HIT,success,59.9,2022-02-16,2022-03-31,94.89,117.19,
326,ESS,2020,3,2020-10-28,GAINER,AMC,NEUTRAL,0.4,23.46,SKIP,success,102.7,2020-10-29,2020-12-11,197.58,243.94,
327,DOC,2023,3,2023-10-30,GAINER,AMC,,,23.41,,error,8.605324029922485,2023-10-31,2023-12-13,15.55,19.19,No transcript found for DOC FY2023 Q3
328,FSLR,2021,2,2021-07-29,GAINER,AMC,UP,0.7,23.4,HIT,success,84.3,2021-07-30,2021-09-13,86.04,106.17,
329,LHX,2021,4,2022-01-31,GAINER,BMO,NEUTRAL,0.4,23.33,SKIP,success,79.6,2022-01-31,2022-03-15,209.29,258.11,
330,BEN,2020,1,2020-04-30,GAINER,AMC,NEUTRAL,0.6,23.29,SKIP,success,67.8,2020-05-01,2020-06-15,18.03,22.23,
331,DHI,2023,3,2023-11-07,GAINER,BMO,UP,0.8,23.29,HIT,success,75.4,2023-11-07,2023-12-20,121.17,149.39,
332,WRB,2020,4,2021-01-26,GAINER,AMC,UP,0.8,23.28,HIT,success,90.0,2021-01-27,2021-03-11,27.4,33.78,
333,RMD,2021,1,2021-04-29,GAINER,AMC,UP,0.7,23.26,HIT,success,72.4,2021-04-30,2021-06-14,187.97,231.7,
334,RJF,2020,3,2020-10-28,GAINER,BMO,NEUTRAL,0.6,23.2,SKIP,success,82.3,2020-10-28,2020-12-10,50.14,61.77,
335,VTR,2020,3,2020-11-06,GAINER,BMO,NEUTRAL,0.6,23.18,SKIP,success,73.8,2020-11-06,2020-12-21,39.64,48.83,
336,SLB,2021,4,2022-01-21,GAINER,AMC,UP,0.8,23.17,HIT,success,105.7,2022-01-24,2022-03-08,36.6,45.08,
337,PRU,2020,3,2020-11-03,GAINER,AMC,NEUTRAL,0.6,23.09,SKIP,success,64.9,2020-11-04,2020-12-17,63.09,77.66,
338,HPE,2021,3,2021-11-30,GAINER,AMC,UP,0.8,23.08,HIT,success,65.5,2021-12-01,2022-01-13,14.21,17.49,
339,TPL,2020,1,2020-04-30,GAINER,AMC,,,23.08,,error,6.25493311882019,2020-05-01,2020-06-15,169.42,208.52,No transcript found for TPL FY2020 Q1
340,GS,2022,3,2022-10-18,GAINER,BMO,NEUTRAL,0.6,23.04,SKIP,success,70.7,2022-10-18,2022-11-30,313.85,386.15,
341,WY,2020,1,2020-05-01,GAINER,BMO,DOWN,0.2,22.98,MISS,success,87.7,2020-05-01,2020-06-15,17.97,22.1,
342,GPN,2020,3,2020-10-29,GAINER,BMO,UP,0.8,22.98,HIT,success,78.0,2020-10-29,2020-12-11,156.17,192.06,
343,WFC,2020,3,2020-10-14,GAINER,BMO,DOWN,0.3,22.97,MISS,success,73.5,2020-10-14,2020-11-25,23.25,28.59,
344,AZO,2020,4,2021-03-02,GAINER,BMO,UP,0.8,22.96,HIT,success,72.4,2021-03-02,2021-04-14,1180.0,1450.89,
345,SYF,2021,1,2021-04-27,GAINER,BMO,UP,0.7,22.93,HIT,success,85.8,2021-04-27,2021-06-09,40.73,50.07,
346,BAC,2020,3,2020-10-14,GAINER,BMO,UP,0.7,22.9,HIT,success,71.8,2020-10-14,2020-11-25,23.62,29.03,
347,DXCM,2020,1,2020-04-28,GAINER,BMO,UP,0.8,22.85,HIT,success,67.7,2020-04-28,2020-06-10,78.38,96.29,
348,UHS,2020,3,2020-10-29,GAINER,AMC,UP,0.7,22.83,HIT,success,69.2,2020-10-30,2020-12-14,109.55,134.56,
349,PWR,2023,3,2023-11-02,GAINER,BMO,UP,0.8,22.81,HIT,success,80.8,2023-11-02,2023-12-15,175.08,215.02,
350,FISV,2020,3,2020-10-27,GAINER,AMC,UP,0.8,22.79,HIT,success,75.2,2020-10-28,2020-12-10,93.52,114.83,
351,GE,2023,4,2024-01-23,GAINER,BMO,UP,0.8,22.74,HIT,success,99.8,2024-01-23,2024-03-06,103.64,127.21,
352,CCL,2023,1,2023-06-26,GAINER,BMO,UP,0.8,22.74,HIT,success,70.0,2023-06-26,2023-08-08,14.6,17.92,
353,AXP,2020,3,2020-10-23,GAINER,BMO,UP,0.7,22.74,HIT,success,66.9,2020-10-23,2020-12-07,100.98,123.94,
354,CFG,2020,3,2020-10-16,GAINER,BMO,UP,0.8,22.74,HIT,success,83.5,2020-10-16,2020-11-30,26.61,32.66,
355,AJG,2020,1,2020-04-30,GAINER,AMC,UP,0.7,22.73,HIT,success,72.8,2020-05-01,2020-06-15,77.51,95.13,
356,FITB,2023,3,2023-10-19,GAINER,BMO,UP,0.7,22.71,HIT,success,71.1,2023-10-19,2023-12-01,24.92,30.58,
357,LEN,2019,4,2020-01-08,GAINER,BMO,UP,0.8,22.68,HIT,success,82.0,2020-01-08,2020-02-21,57.59,70.65,
358,CEG,2023,4,2024-02-27,GAINER,BMO,UP,0.8,22.68,HIT,success,71.7,2024-02-27,2024-04-10,155.76,191.08,
359,SYY,2020,3,2020-11-03,GAINER,BMO,DOWN,0.3,22.62,MISS,success,85.0,2020-11-03,2020-12-16,60.25,73.88,
360,URI,2023,3,2023-10-25,GAINER,AMC,UP,0.8,22.61,HIT,success,67.7,2023-10-26,2023-12-08,403.77,495.06,
361,BKNG,2023,3,2023-11-02,GAINER,BMO,UP,0.8,22.56,HIT,success,84.5,2023-11-02,2023-12-15,2838.62,3479.12,
362,MAR,2020,3,2020-11-06,GAINER,BMO,UP,0.7,22.55,HIT,success,69.2,2020-11-06,2020-12-21,103.89,127.32,
363,IRM,2021,4,2022-02-24,GAINER,BMO,UP,0.8,22.5,HIT,success,71.4,2022-02-24,2022-04-07,45.43,55.65,
364,AVB,2020,3,2020-10-28,GAINER,BMO,DOWN,0.2,22.46,MISS,success,69.8,2020-10-28,2020-12-10,132.71,162.52,
365,ABBV,2020,3,2020-10-30,GAINER,BMO,UP,0.8,22.44,HIT,success,67.1,2020-10-30,2020-12-14,85.1,104.2,
366,DOV,2020,1,2020-04-21,GAINER,BMO,DOWN,0.3,22.44,MISS,success,81.4,2020-04-21,2020-06-03,84.51,103.47,
367,TTD,2020,1,2020-05-07,GAINER,BMO,UP,0.7,22.42,HIT,success,81.6,2020-05-07,2020-06-19,32.25,39.48,
368,DVN,2023,4,2024-02-27,GAINER,AMC,UP,0.7,22.42,HIT,success,70.2,2024-02-28,2024-04-11,44.03,53.9,
369,STX,2023,3,2023-10-26,GAINER,BMO,DOWN,0.2,22.4,MISS,success,61.5,2023-10-26,2023-12-08,65.84,80.59,
370,DDOG,2020,3,2020-11-10,GAINER,AMC,UP,0.8,22.4,HIT,success,87.2,2020-11-11,2020-12-24,86.83,106.28,
371,NSC,2023,3,2023-10-25,GAINER,BMO,DOWN,0.2,22.39,MISS,success,80.0,2023-10-25,2023-12-07,185.79,227.39,
372,AXP,2023,3,2023-10-20,GAINER,BMO,UP,0.8,22.38,HIT,success,67.8,2023-10-20,2023-12-04,141.57,173.25,
373,LYB,2020,2,2020-07-31,GAINER,BMO,UP,0.7,22.34,HIT,success,74.8,2020-07-31,2020-09-14,62.52,76.49,
374,ALB,2022,2,2022-08-03,GAINER,AMC,UP,0.8,22.32,HIT,success,66.6,2022-08-04,2022-09-16,234.89,287.32,
375,NDAQ,2022,3,2022-10-19,GAINER,BMO,UP,0.7,22.3,HIT,success,72.1,2022-10-19,2022-12-01,56.0,68.49,
376,BA,2020,1,2020-04-29,GAINER,BMO,DOWN,0.2,22.3,MISS,success,73.3,2020-04-29,2020-06-11,139.0,170.0,
377,CSGP,2021,4,2022-02-22,GAINER,AMC,NEUTRAL,0.4,22.3,SKIP,success,82.1,2022-02-23,2022-04-06,53.5,65.43,
378,TEL,2020,3,2020-10-28,GAINER,BMO,UP,0.8,22.3,HIT,success,69.1,2020-10-28,2020-12-10,96.87,118.47,
379,MTB,2020,3,2020-10-22,GAINER,BMO,UP,0.7,22.3,HIT,success,106.8,2020-10-22,2020-12-04,104.68,128.02,
380,TPR,2024,2,2024-08-15,GAINER,BMO,UP,0.8,22.3,HIT,success,96.2,2024-08-15,2024-09-27,39.2,47.94,
381,LDOS,2020,3,2020-11-02,GAINER,BMO,UP,0.8,22.29,HIT,success,82.2,2020-11-02,2020-12-15,85.73,104.84,
382,NKE,2019,4,2020-03-24,GAINER,BMO,UP,0.8,22.27,HIT,success,74.9,2020-03-24,2020-05-06,72.33,88.44,
